,Gap between chat initiation,Last Chat Duration,Partial Chat Overlap?,Duration of break before chat,Break before chat?,Overlap time with previous chat,Num ongoing chats before response,Previous chat claim_time_in_minutes,Previous chat response_time_in_minutes,Previous chat interaction_time_in_minutes,Previous chat resolution_time_in_minutes,Previous chat handle_time_in_minutes,Previous chat message_count,Previous chat avg_message_count_in_exchange,Previous chat exchange_count,Previous chat avg_duration_per_message,Previous chat avg_duration_per_exchange,Repeat Technicians,Times already dealt with technician on day,Num chats handled so far,State change,Main State,Last Chat Duration Adj,Last Chat Duration beore response,Duration of last nonstop session before response,Dedicated Operator,time_since_requesters_last_request_mins,Chat for first time in day,Subsequent chat in day,Never chat before,Chat before,"Chat for first time in day, never chat before","Chat for first time in day, chat before","Subsequent chat in day, never chat before","Subsequent chat in day, chat before",Total duration of chat with tech before,State_QLD,State_SA,State_TAS,State_VIC,State_WA,REPORT DAY_Monday,REPORT DAY_Thursday,REPORT DAY_Tuesday,REPORT DAY_Wednesday,HOUR_10 AM,HOUR_11 AM,HOUR_12 PM,HOUR_2 PM,HOUR_3 PM,HOUR_4 PM,HOUR_5 PM,HOUR_6 PM,HOUR_7 AM,HOUR_8 AM,HOUR_9 AM,owner_owner10,owner_owner11,owner_owner12,owner_owner13,owner_owner14,owner_owner16,owner_owner17,owner_owner3,owner_owner4,owner_owner6,owner_owner7,owner_owner9,requester_requester10,requester_requester100,requester_requester101,requester_requester102,requester_requester103,requester_requester104,requester_requester105,requester_requester106,requester_requester107,requester_requester108,requester_requester109,requester_requester11,requester_requester110,requester_requester111,requester_requester112,requester_requester113,requester_requester114,requester_requester115,requester_requester116,requester_requester117,requester_requester118,requester_requester119,requester_requester12,requester_requester120,requester_requester121,requester_requester122,requester_requester123,requester_requester124,requester_requester125,requester_requester126,requester_requester127,requester_requester129,requester_requester13,requester_requester131,requester_requester132,requester_requester133,requester_requester134,requester_requester136,requester_requester137,requester_requester138,requester_requester139,requester_requester14,requester_requester140,requester_requester141,requester_requester142,requester_requester143,requester_requester144,requester_requester145,requester_requester146,requester_requester147,requester_requester148,requester_requester149,requester_requester15,requester_requester151,requester_requester152,requester_requester153,requester_requester154,requester_requester155,requester_requester156,requester_requester158,requester_requester159,requester_requester16,requester_requester160,requester_requester161,requester_requester162,requester_requester163,requester_requester164,requester_requester165,requester_requester166,requester_requester167,requester_requester17,requester_requester19,requester_requester2,requester_requester20,requester_requester21,requester_requester22,requester_requester23,requester_requester24,requester_requester25,requester_requester27,requester_requester28,requester_requester29,requester_requester3,requester_requester30,requester_requester31,requester_requester32,requester_requester33,requester_requester34,requester_requester35,requester_requester36,requester_requester37,requester_requester38,requester_requester39,requester_requester4,requester_requester40,requester_requester42,requester_requester43,requester_requester44,requester_requester45,requester_requester47,requester_requester48,requester_requester50,requester_requester51,requester_requester52,requester_requester53,requester_requester54,requester_requester55,requester_requester56,requester_requester57,requester_requester58,requester_requester6,requester_requester60,requester_requester61,requester_requester62,requester_requester63,requester_requester64,requester_requester65,requester_requester66,requester_requester67,requester_requester68,requester_requester69,requester_requester7,requester_requester70,requester_requester71,requester_requester74,requester_requester75,requester_requester76,requester_requester77,requester_requester78,requester_requester79,requester_requester80,requester_requester81,requester_requester82,requester_requester83,requester_requester85,requester_requester86,requester_requester87,requester_requester88,requester_requester9,requester_requester90,requester_requester91,requester_requester92,requester_requester93,requester_requester94,requester_requester95,requester_requester96,requester_requester97,requester_requester98,requester_requester99,Sum of SLA Pass
0,7.299999999,3.699999995,0,3.600000003,1,0.0,0,12.9166,19.899900000000002,16.9833,24.0666,4.05,9,1.125,8,0.411111111,0.462499999,0,0,5,0,1,4.809999993500001,4.809999993500001,3.699999995,1,1121.604483,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.28333333,1.466666664,0,12.81666667,1,0.0,0,9.6833,15.124949999999998,11.5333,13.7166,1.85,4,2.0,2,0.366666666,0.733333332,0,0,5,0,1,1.6133333304,1.6133333304,1.466666664,1,0.0,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14.43333333,1.816666672,0,18.92499999,1,0.0,0,4.6,5.7833,7.6,13.8166,3.0,2,1.0,2,0.908333336,0.908333336,0,0,3,0,1,1.816666672,1.816666672,1.816666672,1,0.0,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,109.0666667,2.250000002,0,160.22500005,1,0.0,0,0.4833,2.9833,5.25,7.85,4.7666,3,1.5,2,0.750000001,1.125000001,0,0,4,0,1,2.250000002,2.250000002,2.250000002,1,1038.5142,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,8.633333329,1.033333334,0,11.3999999925,1,0.0,0,0.8166,1.2166,2.25,7.6333,1.4333,4,1.0,4,0.258333333,0.258333333,0,1,5,0,1,1.033333334,1.033333334,1.033333334,1,164.4699667,0,1,0,1,0,0,0,1,3.699999995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3.099999991,1.933333324,0,1.7500000005,1,0.0,0,2.1166,2.2333,4.1666,11.7,2.0333,3,1.5,2,0.644444441,0.966666662,0,0,7,0,1,1.933333324,1.933333324,1.933333324,1,1052.030833,1,0,1,0,1,0,0,0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,96.01666667,11.81666667,0,126.30000000000001,1,0.0,0,1.4666,1.8166,13.6333,13.7333,12.15,11,1.833333333,6,1.074242425,1.969444446,0,1,8,0,1,11.81666667,11.81666667,11.81666667,1,293.1399,0,1,0,1,0,0,0,1,1.466666664,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,18.6,14.46666666,0,6.200000004,1,0.0,0,1.3166,1.6666,16.1333,16.3,14.8,7,1.166666667,6,2.066666666,2.411111111,1,2,9,0,1,14.46666666,14.46666666,14.46666666,1,19.143,0,1,0,1,0,0,0,1,15.93333333,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,10.53333333,37.34999999,1,0.0,0,3.999999992,1,0.0833,1.0333,38.3833,38.4,38.2833,14,1.166666667,12,2.667857142,3.112499999,0,3,12,0,1,37.34999999,10.53333333,10.53333333,1,115.9951,0,1,0,1,0,0,0,1,30.53333333,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,5.599999999,3.999999992,1,0.0,0,21.21666666,1,2.0833,2.6333,6.6166,6.65,4.5333,7,2.333333333,3,0.57142857,1.333333331,1,4,13,0,1,26.81666666,3.999999992,16.13333333,1,6.732,0,1,0,1,0,0,0,1,34.53333332,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
